ID,statement
nl_1_0001000,Organizers of events should be able to make a request for a vaccination certificate upon entry.
nl_2_0001000,
nl_3_0001000,
nl_4_0001000,The Netherlands should make its exit from the European Union (EU).
nl_5_0001000,
nl_6_0001000,"During the upcoming New Year's Eve, it should be given permission to set off decorative fireworks again."
nl_7_0001000,There should be an additional tax on making a purchase of meat.
nl_8_0001000,
nl_9_0001000,
nl_10_0001000,The government should effect the abolition of the ban on face-covering clothing.
nl_11_0001000,"The national government, rather than provinces and municipalities, should make a decision where new residential areas are built."
nl_12_0001000,The government should effect a reduction in the VAT on cultural activities to 5 percent.
nl_13_0001000,The Netherlands should undertake the building of a new nuclear power plant.
nl_14_0001000,
nl_15_0001000,
nl_16_0001000,The Dutch government should make an apology for the historical slave trade.
nl_17_0001000,
nl_18_0001000,Primary school teachers should have earnings as much as secondary school teachers.
nl_19_0001000,
nl_20_0001000,
nl_21_0001000,Asylum seekers with a temporary residence permit should effect the completion of integration before obtain acquisition of a rental home.
nl_22_0001000,Both the purchase and sale of soft drugs by coffee shops should be granted legal recognition.
nl_23_0001000,The government should impose mandatory status on Dutch-language education more frequently at universities and colleges.
nl_24_0001000,People who consider their lives complete should be granted assistance with suicide.
nl_25_0001000,An increase in minimum wages should no longer automatically lead to a result in an increase in welfare benefits.
nl_26_0001000,New residential areas should comprise composition of at least 40 percent green space.
nl_27_0001000,
nl_28_0001000,"A middle school should be provided establishment so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_0001000,The Netherlands should impose acceptance of more refugees than it currently does.
nl_30_0001000,People should always be given the choice of whether to wear a face mask.
es_1_0001000,Imposing limitation on rights and freedoms is necessary to combat organized crime.
es_2_0001000,
es_3_0001000,
es_4_0001000,The efficiency of public services leads to improvement when they are privatized.
es_5_0001000,
es_6_0001000,The state should impose measures to redistribute wealth from the rich to the poor.
es_7_0001000,"The government must impose an increase on public health care, even if this means imposing an increase on taxes."
es_8_0001000,
es_9_0001000,
es_10_0001000,Governments should impose intervention as little as possible in the economy.
es_11_0001000,
es_12_0001000,
es_13_0001000,The future Spanish government should carry out an increase in irrigated agricultural areas by means of large water transfers.
es_14_0001000,
es_15_0001000,Spanish government should impose strengthening of NATO in Europe.
es_16_0001000,The best way to resolve the conflict in Catalonia is for its citizens to be able to vote on their future in a referendum.
es_17_0001000,Negotiating with pro-independence supporters causes weakening of the State.
es_18_0001000,
es_19_0001000,The right to self-determination must be granted recognition by the Constitution.
es_20_0001000,The policies of linguistic immersion in the native language of bilingual Autonomous Communities impose endangerment on Spanish.
es_21_0001000,It is necessary to impose a repeal of the Law of Democratic Memory passed during this legislature.
es_22_0001000,
es_23_0001000,Immigrants should impose payment for their own health services.
es_24_0001000,Housing prices must be imposed regulation to ensure access for all people.
de_1_0001000,A general speed limit is to impose application on all highways.
de_2_0001000,
de_3_0001000,Young people over the age of 16 are to be given permission to vote in Bundestag elections.
de_4_0001000,
de_5_0001000,The ability of landlords to increase housing rents is to be more strictly imposed on by law.
de_6_0001000,Covid-19 vaccines are to continue to be provided protection by patents.
de_7_0001000,
de_8_0001000,
de_9_0001000,
de_10_0001000,A national tax is to be imposed on revenue generated in Germany from digital services.
de_11_0001000,
de_12_0001000,Donations from companies to political parties should continue to be granted permission.
de_13_0001000,
de_14_0001000,
de_15_0001000,
de_16_0001000,"The Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany, is to be allowed to enter operation as planned."
de_17_0001000,
de_18_0001000,Female civil servants are to be given permission to wear headscarves while on duty.
de_19_0001000,
de_20_0001000,The federal government is to be assigned more responsibilities in school policy.
de_21_0001000,The federal government is to grant more financial support for projects to combat anti-Semitism.
de_22_0001000,Chinese companies should not be given permission to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_0001000,The state should continue to impose church tax for religious communities.
de_24_0001000,The controlled sale of cannabis is to be generally granted permission.
de_25_0001000,Germany is to make a departure from the European Union.
de_26_0001000,The state lists of the parties for the elections to the German Bundestag are to require filling alternately by women and men.
de_27_0001000,Inpatient treatment in hospitals is to continue to be imposed a charge on the basis of a flat rate per case.
de_28_0001000,A tax is to be imposed again on high assets.
de_29_0001000,Facial recognition software should be given permission to be used for video surveillance in public places.
de_30_0001000,Married couples without children should continue to grant tax breaks.
de_31_0001000,Organic agriculture should be given promotion more strongly than conventional agriculture.
de_32_0001000,Islamic associations are to be able to be granted recognition by the state as religious communities.
de_33_0001000,The government-set price for CO2 emissions from heating and driving is to go up more than planned.
de_34_0001000,The debt brake in the Basic Law is to be imposed retention.
de_35_0001000,Asylum is to continue to be imposed granting only to politically persecuted persons.
de_36_0001000,
de_37_0001000,Air traffic is to be imposed taxation more heavily.
de_38_0001000,Companies are to make a decision for themselves whether to allow their employees to work from home.
pl_1_0001000,
pl_2_0001000,Social transfers should be given an increase to reduce the effects of inflation on citizens.
pl_3_0001000,The state should impose financing of private visits to specialists if the waiting time at a public facility exceeds three months.
pl_4_0001000,The state should impose provision of a free nursery place for every child.
pl_5_0001000,Schools should grant more freedom to choose the content covered in the curriculum.
pl_6_0001000,The state should carry out building of low-rent apartments for rent.
pl_7_0001000,
pl_8_0001000,
pl_9_0001000,Abortion laws should be subjected to liberalization.
pl_10_0001000,All entrepreneurs should impose the same health premium regardless of income.
pl_11_0001000,The result of any nationwide referendum should render binding regardless of turnout.
pl_12_0001000,Poland should impose the migrant relocation solutions adopted by the European Union.
pl_13_0001000,The independence of the judiciary from parliament and the government should be imposed strengthening on.
pl_14_0001000,
pl_15_0001000,
pl_16_0001000,
pl_17_0001000,Poland should impose blocking on grain imports from Ukraine
pl_18_0001000,
pl_19_0001000,
pl_20_0001000,The powers of the secret services to track the activities of citizens on the Internet should be imposed a limitation.
hu_1_0001000,The EU's rule of law mechanism imposes a threat on Hungary's sovereignty.
hu_2_0001000,Hungarian foreign policy should be given guidance solely by Hungarian economic interests.
hu_3_0001000,Hungary should make a decision by referendum whether to remain part of the EU.
hu_4_0001000,
hu_5_0001000,
hu_6_0001000,Hungary should be joined to the European Public Prosecutor's Office.
hu_7_0001000,Stricter regulation of interception software (e.g. Pegasus) should be imposed (e.g. subject to judicial authorisation).
hu_8_0001000,
hu_9_0001000,The age of compulsory schooling should be raising back to 18.
hu_10_0001000,
hu_11_0001000,
hu_12_0001000,Political influence has undergone reduction by changing the university model (reorganisation into a trust).
hu_13_0001000,Only men and women should be given permission to marry.
hu_14_0001000,
hu_15_0001000,The state should impose targeted measures to promote equal participation of fathers and mothers in child-rearing.
hu_16_0001000,"The Hungarian government should give approval to the Istanbul Convention, which combats violence against women and domestic violence."
hu_17_0001000,One effective way to reduce rents is to impose a conclusion of favourable gas supply contracts with Russia.
hu_18_0001000,Comprehensive public procurement reform should be implemented (e.g. opening up large-scale centralised public procurement to smaller firms).
hu_19_0001000,Imposing an increase on the contribution of the wealthier to the public purse (abolition of the one-band tax).
hu_20_0001000,
hu_21_0001000,
hu_22_0001000,
hu_23_0001000,
hu_24_0001000,
hu_25_0001000,"It is right that it is the Education Office, rather than parents and kindergarten teachers, that makes a decision on the school entry maturity of children over the age of six."
hu_28_0001000,The legalisation of the use of medical cannabis should be imposed in Hungary.
hu_29_0001000,
hu_30_0001000,
hu_31_0001000,"Comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner-take-all compensation, extension of postal voting) should be required."
hu_32_0001000,
hu_33_0001000,
hu_34_0001000,
hu_36_0001000,Heavier taxation should be imposed on polluting companies.
hu_37_0001000,"In larger cities, car traffic should be imposed a limitation through various measures (P+R parking, construction of cycle paths, improvement of public transport)."
hu_38_0001000,The redevelopment of urban green spaces (e.g. the Liget project in Budapest) should be required a broad social dialogue.
hu_39_0001000,
hu_40_0001000,
it_1_0001000,
it_2_0001000,Italy should exit the Eurozone.
it_3_0001000,
it_4_0001000,
it_5_0001000,
it_6_0001000,Restrictions on personal freedom and privacy are acceptable dealing with health emergencies such as Covid-19.
it_7_0001000,"Stopping migrant landings must be imposed, even by extreme means."
it_8_0001000,"Children, born in Italy to foreign citizens and who have completed schooling should be bestowed citizenship (ius scholae)."
it_9_0001000,
it_10_0001000,
it_11_0001000,Recreational use of marijuana/cannabis should be granted allowance.
it_12_0001000,A law is needed to impose prevention on companies from relocating their production abroad.
it_13_0001000,
it_14_0001000,Businesses should be allowed firing of employees more easily.
it_15_0001000,Health care should be done management only by the state and not by private individuals.
it_16_0001000,"The introduction of a single income tax rate (""flat tax"") would provide benefit to the Italian economy."
it_17_0001000,An hourly minimum wage should be imposed introduction.
it_18_0001000,The citizenship allowance is a measure that should be subject to cancellation.
it_19_0001000,
it_20_0001000,The use of nuclear power plants for the purpose of producing energy should be imposed promotion.
it_21_0001000,
it_22_0001000,Italy should construct more incinerators/thermal power plants.
it_23_0001000,
it_24_0001000,
it_25_0001000,Italy should maintain its foreign policy alignment with the choices of the Atlantic Alliance (NATO).
it_26_0001000,
it_27_0001000,Italy should stop the sending of arms and war material to the Ukrainian government.
it_28_0001000,Taxes collected at the regional level should be fully imposed retention in the region itself.
it_29_0001000,Separation of careers between judges and prosecutors should be imposed.
it_30_0001000,Direct election of the President of the Republic should be imposed.
ch_18_0001000,There should be an imposition of an increase in the retirement age.
ch_19_0001000,The federal government should impose allocation of more funding for health insurance premium subsidies.
ch_20_0001000,"For married couples, the pension is currently imposed a limit to 150% of the maximum individual AHV pension (capping). This limit should be removed."
ch_21_0001000,"As part of the reform of the BVG (occupational pension plan), pensions are to be subjected to reduction (lowering the minimum conversion rate from 6.8% to 6%)."
ch_22_0001000,Paid parental leave should be imposed an increase on beyond today's 14 weeks of maternity leave and two weeks of paternity leave.
ch_23_0001000,
ch_24_0001000,
ch_25_0001000,
ch_26_0001000,"Insured persons should impose more contribution to health care costs (e.g., increase the minimum deductible)."
ch_27_0001000,The Federal Council's ability to impose restriction on private and economic life in the event of a pandemic should be more limited.
ch_28_0001000,The federal government should be granted the authority to determine the hospital offering (national hospital planning with regard to locations and range of services).
ch_29_0001000,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be given teaching in regular classes."
ch_30_0001000,
ch_31_0001000,"The state should have more commitment to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)."
ch_32_0001000,"The conditions for naturalization should be imposed relaxation on the conditions (e.g., shorter residence period)."
ch_33_0001000,More qualified workers from non-EU/EFTA countries should be given permission to work in Switzerland (increase third-country quota).
ch_34_0001000,There should be efforts to impose housing on asylum seekers in centers outside Europe during the asylum procedure.
ch_35_0001000,
ch_36_0001000,Cannabis use should be subjected to legalization.
ch_37_0001000,Doctors should be allowed the administration of direct active euthanasia.
ch_38_0001000,
ch_39_0001000,Same-sex couples should grant the same rights as heterosexual couples in all areas.
ch_40_0001000,There should be imposed tax cuts at the federal level over the next four years.
ch_41_0001000,Married couples be subjected to taxation separately (individual taxation).
ch_42_0001000,
ch_43_0001000,The differences between cantons with high and low financial capacity should be further imposed through fiscal equalization.
ch_44_0001000,"A minimum wage of CHF 4,000 for all full-time employees should be imposed introduction."
ch_45_0001000,
ch_46_0001000,Private households should be free to have choice of their electricity supplier (complete liberalization of the electricity market).
ch_47_0001000,
ch_48_0001000,
ch_49_0001000,Busy sections of highways should be imposed widening on.
ch_50_0001000,Switzerland should impose a ban on the registration of new passenger cars with internal combustion engines starting in 2035.
ch_51_0001000,"To achieve climate targets, incentives and target agreements should be reliance on exclusively, rather than bans and restrictions."
ch_52_0001000,It's fair that environmental and landscape protection rules are subject to relaxation to allow for the development of renewable energy.
ch_53_0001000,
ch_54_0001000,The state should provide a guarantee of a comprehensive public service offering also in rural regions.
ch_55_0001000,Increasing electricity tariffs when consumption is higher (progressive electricity tariffs) should be imposed on
ch_56_0001000,"The relaxation of protection regulations for large predators (lynx, wolf, bear) should be relaxed."
ch_57_0001000,
ch_58_0001000,There should impose stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas).
ch_59_0001000,30% of Switzerland's land area should be devoted to preserving biodiversity?
ch_0_0001000,
ch_1_0001000,"There should be government measures to impose the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)."
ch_2_0001000,
ch_3_0001000,
ch_4_0001000,
ch_5_0001000,"There should be a popular initiative that has an aim to reduce television and radio fees (CHF 200 per household, exemption for businesses)."
ch_6_0001000,The voting age should be subjected to lowering to 16.
ch_7_0001000,It should be possible to conduct a referendum on federal spending above a certain amount (optional financial referendum).
ch_8_0001000,"The army's target number of soldiers should increase the expansion to at least 120,000."
ch_9_0001000,The Swiss Armed Forces should carry out expansion of their cooperation with NATO.
ch_10_0001000,"The Federal Council should be allowed to grant authorization to other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)."
ch_11_0001000,Automatic facial recognition should be subjected to a ban in public spaces.
ch_12_0001000,Switzerland should end the termination of the Schengen agreement with the EU and introduce the reintroduction of more security checks directly on the border.
ch_13_0001000,
ch_14_0001000,Switzerland should pursue a comprehensive free trade agreement (including agriculture) with the USA.
ch_15_0001000,Companies should be obliged to impose compliance on their subsidiaries and suppliers operating abroad with social and environmental standards.
ch_16_0001000,Switzerland should end the termination of the Bilateral Agreements with the EU and pursue the pursuit of a free trade agreement without the free movement of persons.
ch_17_0001000,
