shared_id,original_statement,it_cleft_statement,r_w1_restoration_layer23
nl_1,Organizers of events should be able to request a vaccination certificate upon entry.,It is a vaccination certificate that organizers of events should be able to request upon entry.,-138.0
nl_2,The Netherlands should spend more money on defense.,It is more money on defense that the Netherlands should spend.,-9.25
nl_3,Childcare should be free for all parents for at least three days a week.,It is for all parents that childcare should be free for at least three days a week.,-104.5
nl_4,The Netherlands should exit the European Union (EU).,It is the European Union (EU) that the Netherlands should exit.,-1.5
nl_5,"Instead of the tax on car ownership, there should be a tax per kilometer driven for motorists.",It is a tax per kilometer driven for motorists that there should be instead of the tax on car ownership.,-836.0
nl_6,"During the upcoming New Year's Eve, it should be allowed to set off decorative fireworks again.",It is decorative fireworks that it should be allowed to set off again during the upcoming New Year's Eve.,-204.0
nl_7,There should be an additional tax on purchasing meat.,It is an additional tax on purchasing meat that there should be.,-1.53125
nl_8,Less funding should go to public broadcasting.,It is public broadcasting that less funding should go to.,-73.5
nl_9,"Instead of the existing health insurance companies, there should be a national healthcare fund for everyone.",It is a national healthcare fund for everyone that there should be instead of the existing health insurance companies.,-0.8046875
nl_11,"The national government, rather than provinces and municipalities, should decide where new residential areas are built.","It is where new residential areas are built that the national government, rather than provinces and municipalities, should decide.",-35.25
nl_12,The government should reduce the VAT on cultural activities to 5 percent.,It is the VAT on cultural activities that the government should reduce to 5 percent.,-596.0
nl_13,The Netherlands should build a new nuclear power plant.,It is a new nuclear power plant that the Netherlands should build.,-0.5625
nl_15,"Households with two partners, one of whom works, should receive the same tax benefits as households with two working partners.","It is the same tax benefits as households with two working partners that households with two partners, one of whom works, should receive.",0.46875
nl_16,The Dutch government should apologize for the historical slave trade.,It is the historical slave trade that the Dutch government should apologize for.,0.03515625
nl_17,Citizens should have the opportunity to block laws passed by parliament through a referendum.,It is the opportunity to block laws passed by parliament through a referendum that citizens should have.,-38.0
nl_19,There should be fewer options for community service sentences instead of prison sentences.,It is fewer options for community service sentences instead of prison sentences that there should be.,-128.0
nl_21,Asylum seekers with a temporary residence permit should complete integration before getting a rental home.,It is integration that asylum seekers with a temporary residence permit should complete before getting a rental home.,-16768.0
nl_22,Both the purchase and sale of soft drugs by coffee shops should be legalized.,It is both the purchase and sale of soft drugs by coffee shops that should be legalized.,-6048.0
nl_23,The government should make Dutch-language education more frequently mandatory at universities and colleges.,It is Dutch-language education that the government should make more frequently mandatory at universities and colleges.,-0.3359375
nl_24,People who consider their lives complete should be able to receive assistance with suicide.,It is assistance with suicide that people who consider their lives complete should be able to receive.,0.10546875
nl_26,New residential areas should consist of at least 40 percent green space.,It is at least 40 percent green space that new residential areas should consist of.,0.94921875
nl_27,There should be no new restrictions on the activities of farming businesses.,It is no new restrictions on the activities of farming businesses that there should be.,0.8671875
